Team,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Albania,NE,DNQ,DNQ,DNQ,NE,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ
Austria,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ,GS,R16
Belgium,NE,DNQ,DNQ,3,DNQ,2,GS,DNQ,DNQ,DNQ,GS,DNQ,DNQ,DNQ,QF,QF
Bulgaria,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ,GS,DNQ,DNQ,DNQ,DNQ
Croatia,,,,,,,,,,QF,DNQ,GS,QF,GS,R16,R16
Czech Republic,3,DNQ,DNQ,DNQ,1,3,DNQ,DNQ,DNQ,2,GS,SF,GS,QF,GS,QF
Denmark,DNQ,4,DNQ,DNQ,DNQ,DNQ,SF,GS,1,GS,GS,QF,DNQ,GS,DNQ,SF
England,NE,DNQ,3,DNQ,DNQ,GS,DNQ,GS,GS,SF,GS,QF,DNQ,QF,R16,2
Finland,NE,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS
France,4,DNQ,DNQ,DNQ,DNQ,DNQ,1,DNQ,GS,SF,1,QF,GS,QF,2,R16
Georgia,,,,,,,,,,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ
Germany[b],NE,NE,DNQ,1,2,1,GS,SF,2,1,GS,GS,2,SF,SF,R16
Greece,DNQ,NE[d],DNQ,DNQ,DNQ,GS,DNQ,DNQ,DNQ,DNQ,DNQ,1,GS,QF,DNQ,DNQ
Hungary,DNQ,3,DNQ,4,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,R16,GS
Iceland,NE,DNQ,NE,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,QF,DNQ
Italy,NE,DNQ,1,DNQ,DNQ,4,DNQ,SF,DNQ,GS,2,GS,QF,2,QF,1
Latvia,,,,,,,,,,DNQ,DNQ,GS,DNQ,DNQ,DNQ,DNQ
Netherlands,NE,DNQ,DNQ,DNQ,3,GS,DNQ,1,SF,QF,SF,SF,QF,GS,DNQ,R16
North Macedonia,,,,,,,,,,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ
Northern Ireland,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,R16,DNQ
Norway,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ,DNQ,DNQ,DNQ,DNQ
Poland,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,GS,QF,GS
Portugal,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,SF,DNQ,DNQ,QF,SF,2,QF,SF,1,R16
Republic of Ireland,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ,DNQ,DNQ,DNQ,DNQ,GS,R16,DNQ
Romania,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ,DNQ,GS,QF,DNQ,GS,DNQ,GS,DNQ
Russia,1,2,4,2,DNQ,DNQ,DNQ,2,GS,GS,DNQ,GS,SF,GS,GS,GS
Scotland,NE,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,GS,DNQ,DNQ,DNQ,DNQ,DNQ,GS
Serbia,2,DNQ,2,DNQ,4,DNQ,GS,DNQ,DQ[g],NE,QF,DNQ,DNQ,DNQ,DNQ,DNQ
Slovakia,3,DNQ,DNQ,DNQ,1,3,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,R16,GS
Slovenia,,,,,,,,,,DNQ,GS,DNQ,DNQ,DNQ,DNQ,DNQ
Spain,DQ,1,DNQ,DNQ,DNQ,GS,2,GS,DNQ,QF,QF,GS,1,1,R16,SF
Sweden,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,SF,DNQ,GS,QF,GS,GS,GS,R16
Switzerland,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,DNQ,GS,GS,DNQ,R16,QF
Turkey,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,GS,QF,DNQ,SF,DNQ,GS,GS
Ukraine,,,,,,,,,,DNQ,DNQ,DNQ,DNQ,GS,GS,QF
Wales,NE,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,DNQ,SF,R16
